Symbol	FC	qval	mean_expr_HA	mean_expr_HC
A2M-AS1	Inf	0.00167069274341344	0.0393777986441471	0
AACS	0.775502215924236	0.00754546424891883	0.0629928548691669	0.0105630436714664
AAGAB	Inf	2.64728631074623e-06	0.102362458718055	0
AAK1	Inf	1.0405108656518e-29	0.551162678327756	0
AAMP	-0.526664466653193	1.0690289160054e-05	0.181102547915336	0.6089603652027
AARSD1	Inf	0.00492717442768694	0.0314958495258915	0
AASDHPPT	-0.151307984759625	1.68059402438362e-05	0.354132610457005	0.501734431580934
AATF	Inf	8.79118004057548e-14	0.376428873612311	0
ABCA1	1.22180895691493	0.000290468340001674	0.29339013171098	0.0176050209078349
ABCA6	Inf	0.00492717442768694	0.0314958495258817	0
ABCB1	-0.136928506008164	0.00935703926491525	0.334347641585479	0.458275637406131
ABCB8	Inf	0.0151399435374792	0.0236218464398565	0
ABCB9	0.650497042587208	0.016760112330414	0.0629928548691444	0.0140862129194278
ABCC1	0.628253492708521	0.000298082097758987	0.149606172153548	0.0352124317675938
ABCC5	Inf	2.45598800138904e-06	0.0866116412304729	0
ABCD2	Inf	1.0690289160054e-05	0.605880096657093	0
ABCE1	-0.201787745445515	0.0318411010227729	0.267714403443869	0.426048933955652
ABCF1	-0.319858723987506	1.06050985415003e-08	0.669282060763634	1.39787361768962
ABCF2	Inf	6.17825359207684e-05	0.240385219279104	0
ABCF3	Inf	8.27274830072932e-07	0.0944890303898736	0
ABCG1	Inf	0.00120037046050101	0.376412233226456	0
ABHD12	Inf	0.000185065391298342	0.0708828948209022	0
ABHD13	-0.862273882571855	0.0188571091870609	0.102362458718084	0.745443258567173
ABHD14B	-0.423424913347358	0.000149905406440667	0.110236764122861	0.292247880299834
ABHD15	Inf	8.27274830072932e-07	0.0944890303898837	0
ABHD16A	Inf	0.0151399435374792	0.0236212892914806	0
ABHD17B	Inf	0.0152247023786416	0.0314958495258904	0
ABHD17C	Inf	0.0151399435374792	0.0236218464398565	0
ABHD18	Inf	6.02710444922022e-09	0.821996788689404	0
ABHD3	-0.0587873385909033	0.0077665033645368	0.193747951572988	0.221832134544848
ABI1	Inf	3.84428166261573e-49	1.17326195972861	0
ABI2	Inf	1.0690289160054e-05	0.0866152674716237	0
ABI3	Inf	0.00167069274341344	0.0393777986441576	0
ABL1	-0.667448321803799	0.000191162739256652	0.0393777986441464	0.18310481115222
ABL2	0.233561316312783	2.67977201603508e-05	0.464219776502642	0.2711204782023
ABLIM1	Inf	4.5294230089689e-32	0.801441968036734	0
ABRACL	Inf	1.92926439308957e-61	1.64168466559628	0
ABRAXAS2	Inf	8.22318969396909e-08	0.363876820421925	0
ABT1	-0.0853375331034445	2.14197678962174e-07	0.503409349031564	0.612715419505825
ABTB1	Inf	2.34700280882395e-06	0.0944890303898842	0
ACAA1	0.52962934537076	0.000352340711114335	0.786746862553276	0.232383706458409
ACAA2	0.112218189903502	0.0354484602234733	0.446818243308804	0.345074372467037
ACACB	0.717497947885817	0.0172974165404074	0.0551171842977589	0.0105630436714595
ACAD10	Inf	0.00492717442768694	0.464212578087757	0
ACAD8	Inf	0.00492717442768694	0.0314958495258881	0
ACADSB	-0.505540759281247	2.06779534845146e-10	0.13962139998634	0.447190684023004
ACAP1	Inf	1.51193909013115e-31	0.859510470347341	0
ACAP3	Inf	0.00492717442768694	0.0314958495259079	0
ACAT1	-0.373298765070821	0.00529438509965959	0.275583759372001	0.650957125654437
ACAT2	-0.246211119609865	0.00975787460969708	0.343948302173482	0.606323344433621
ACBD3	0.0584912453857083	3.24435433043959e-08	0.874238261007986	0.764079528509992
ACBD4	Inf	0.0151399435374792	0.0236218464398666	0
ACE	Inf	0.00167069274341344	0.0393777986441601	0
ACER3	Inf	0.00492717442768694	0.0314958495258871	0
ACIN1	Inf	5.72979079108893e-57	1.45298154576687	0
ACLY	-0.499011224395901	0.0102008725723422	0.0866116412304759	0.273267191054119
ACOT13	Inf	3.85691481722509e-37	0.886944161327825	0
ACOT8	Inf	1.39854345494648e-12	0.20472186439244	0
ACOT9	Inf	3.62265466433743e-09	0.214566401313256	0
ACP1	-0.166642461697434	1.75210811794664e-06	0.803671661849028	1.17956293307647
ACP5	0.303571067886572	3.29303443566395e-10	0.715428603581081	0.355627414063855
ACSS1	-0.421075987798658	0.0382547608477192	0.162283018813673	0.427906679470669
ACTB	-0.0732775938936931	1.04401159525143e-05	9.86619142814756	11.6795774647887
ACTBP11	1.23211351174412	0.0161422319295008	0.240385219278797	0.0140862129194413
ACTBP7	0.59249277454854	0.0381433833290179	0.0551171842977434	0.0140862129194278
ACTG1	-0.353774902306694	4.28745107119267e-24	1.58267009069675	3.57408846160763
ACTG1P14	Inf	0.0151399435374792	0.0236218464398239	0
ACTG1P17	Inf	0.0151399435374792	0.0236218464398594	0
ACTG2	-Inf	8.43607733847619e-06	0	0.12676189250956
ACTL10	-0.764394238489167	0.0447292712888553	0.00787449336259116	0.0457737886213103
ACTN4	-0.361322731705312	6.29558664955597e-05	0.26771208691374	0.615163715384691
ACTR10	Inf	3.33392511527767e-08	0.118107719391351	0
ACTR1A	Inf	1.10047473597817e-08	0.133861970048236	0
ACTR1B	Inf	0.000185065391298342	0.0629928548691575	0
ACTR2	Inf	8.95358613676611e-63	2.19180292779349	0
ACTR3	Inf	6.25005334115961e-64	1.52758133948752	0
ACTR5	Inf	3.31371270100619e-06	0.874336410643225	0
ACTR6	-0.297948097549266	0.00183317655572921	0.543301838944744	1.0789200716818
ACTR8	Inf	8.81801975752e-07	0.110234546170163	0
ACVR2B	1.65287351998806	0.0122877774087395	0.316649725471463	0.00704215526036315
ACYP2	-0.46801815120489	5.15420415922384e-05	0.244650698037149	0.718728076333126
ADA	-0.633877241414702	3.9832194276915e-05	0.0629928548691823	0.271124355511521
ADA2	-0.41314079928657	4.14102424866066e-06	0.149606555585573	0.387339175270651
ADAL	-0.404173718457551	0.029562851906429	0.316654898833343	0.803082069838575
ADAM12	Inf	0.0151399435374792	0.0236218464398737	0
ADAM17	Inf	3.98008565333535e-15	0.251974298185118	0
ADAM19	0.515842656523937	7.29004154830432e-05	0.346448985208709	0.105632275915643
ADAM28	Inf	6.26714929741172e-09	0.605900290632486	0
ADAM8	0.270473746680272	0.0373006259464334	0.228350475674148	0.122497767529409
ADAMTS1	-2.28846714839718	0.00492717442768694	0.0157491663923223	3.06002320455407
ADAMTSL4	Inf	0.000559599968228515	0.047243430711383	0
ADAP2	Inf	0.00391360432687073	0.464212578085355	0
ADAR	-0.113061922460103	0.00010844069252611	0.970438782836201	1.25901257225217
ADCY10P1	Inf	0.00492717442768694	0.0314958495258846	0
